source,keyword,date,product,reason,classification,status,country,recalling_firm
FDA,dates,20120910,#010 Broccoli Stir Fry 0.75 pounds,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.). The firm is voluntarily recalling all products manufactured from August 20t",Class II,Terminated,USA,Spartan Central Kitchen
FDA,dates,20131107,"Grandpa's, 	Cucumber Dill Dip, 	1/5 lb.,0 11596 55900 1, 12/23/2013- 12/28/2013","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20191103,Mann's Nourish Bowls Thai Noodle    4 x 9.75 oz. UPC: 716519036989 US and Canada,CFIA notified FDA of positive result for Listeria monocytogenes with various best by dates of Sweet Kale Salad Blend.,Class I,Terminated,USA,"Mann Packing Company, Inc."
FDA,dates,20191103,Mann's Nourish Bowls Basil Pesto    4 x 10.75 oz. UPC: 716519037030  4 x 10.75 oz. UPC; 716519037047 - Mann Canada,CFIA notified FDA of positive result for Listeria monocytogenes with various best by dates of Sweet Kale Salad Blend.,Class I,Terminated,USA,"Mann Packing Company, Inc."
FDA,dates,20131107,"Dairy Fresh	Baked Potato Salad, 2/5 lb., 0 70163 40659 6, 	12/1/2013 - 12/15/2013","Garden-Fresh Foods is recalling various cut vegetables, ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013 because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20141010,Cuajada en Hoja (Fresh Curd Cheese) in individually soft poly/plastic bags labeled in part: Lacteos Santa Martha Cuajada en Hoja Queso Casero Hecho a Mano Fresh Curd Net Wt 12oz (340g),"Virginia State (VDACS) found Listeria monocytogenes in Lacteos Santa Martha Quesito Casero Fresh Curd (Best by 9/27/14), FDA made an inspection, were the environmental samples collected came up positive also for Listeria monocytogenes, also the Oasis Brands Inc. sent finish products samples to a pri",Class I,Terminated,USA,"Oasis Brands, Inc"
FDA,dates,20131107,"Dairy Fresh, Asian Vegetable Orzo, 	1/5 lb., 0 70163 50242 0, 	11/26/2013 - 12/10/2013;  Finest Traditions, Asian Vegetable Orzo, 1/5 lb., 10 733147 10976 9	12/2/2013 - 12/9/2013;  Garden-Fresh, Asian","Garden-Fresh Foods is recalling various cut vegetables, ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013 because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20120830,"Wawa mixed fruit with kiwi Net Wt 9.7  oz (275 g) in rigid plastic trays Distributed by: Wawa, Inc. Wawa, PA 19063 UPC 726191069304",Taylor Farms New Jersey is voluntarily recalling specific code dates of the following products due to containing Daniella Brand mangoes or potentially being processed on common equipment with the Daniella Brand mangoes since  Daniella Brand mangoes were identified by the CFIA as having the potential,Class I,Terminated,USA,"Taylor Farms, Inc."
FDA,dates,20131107,"Garden-Fresh, Chopped Lettuce Romaine Blend 80/20, 4/5 lb., 0 11596 90150 3, 10/28/2013 - 11/6/2013","Garden-Fresh Foods is recalling various cut vegetables, ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013 because they may be contaminated with Listeria monocytogenes.",Class I,Terminated,USA,"Garden-Fresh Foods, Inc."
FDA,dates,20120910,#701 Panini - California Turkey	sandwich,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20",Class II,Terminated,USA,Spartan Central Kitchen
