hs_code,hs_desc,year,country_code,country_name,value_usd,weight_kg,qty,price_usd_kg,value_lag1,growth_yoy
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2019,724,Espagne,16856659.477,22885051.0,22885051.0,0.7365795023572376,13033024.642,29.338046539695945
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2020,724,Espagne,17323005.699,24525508.0,24525508.0,0.7063260707586567,16856659.477,2.7665399697745765
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2021,724,Espagne,15620587.685,20754207.0,20754207.0,0.7526468096323796,17323005.699,-9.827497857939719
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2022,724,Espagne,16110996.805,21516911.0,21516911.0,0.7487597455322467,15620587.685,3.1395049270196465
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2023,724,Espagne,15858237.118,22488104.0,22488104.0,0.705183376864497,16110996.805,-1.568864360531409
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2016,784,Émirats Arabes,17.0,3.0,3.0,5.666666666666667,,
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2017,784,Émirats Arabes,4.434,50.0,50.0,0.08868000000000001,17.0,-73.91764705882352
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2018,784,Émirats Arabes,22.374,11.0,11.0,2.034,4.434,404.6008119079837
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2019,784,Émirats Arabes,17.469,11.5,11.5,1.5190434782608697,22.374,-21.922767497988726
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2020,784,Émirats Arabes,900.404,303.25,303.25,2.9691805441055235,17.469,5054.296181807773
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2022,784,Émirats Arabes,555283.003,420120.0,420120.0,1.3217247524516806,900.404,61570.42827441904
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2023,784,Émirats Arabes,899499.359,784224.0,784224.0,1.1469928987126128,555283.003,61.989355723175265
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2015,826,Royaume-Uni,67166.179,60860.0,60860.0,1.1036177949392048,,
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2017,826,Royaume-Uni,11420.912,12000.0,12000.0,0.9517426666666667,67166.179,-82.99603733599317
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2018,826,Royaume-Uni,14220.493,10624.0,10624.0,1.3385253200301206,11420.912,24.512762203228604
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2019,826,Royaume-Uni,1621.595,1200.0,1200.0,1.3513291666666667,14220.493,-88.59677368428788
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2020,826,Royaume-Uni,1563.677,980.0,980.0,1.595588775510204,1621.595,-3.57166863489343
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2015,842,États-Unis,2217773.071,2486554.8,2486554.8,0.8919059700594575,,
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2016,842,États-Unis,2893186.0,3358387.0,3358387.0,0.8614808239788923,2217773.071,30.45455542011133
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2017,842,États-Unis,2403333.713,2254353.0,2254353.0,1.066085796235106,2893186.0,-16.931240749816983
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2018,842,États-Unis,848684.79,830292.0,830292.0,1.0221521946495933,2403333.713,-64.68718491280117
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2019,842,États-Unis,797231.541,783676.0,783676.0,1.0172973792740878,848684.79,-6.0627042697442555
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2020,842,États-Unis,695228.494,870400.0,870400.0,0.7987459719669117,797231.541,-12.794657731686513
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2021,842,États-Unis,542134.217,468280.0,468280.0,1.15771379730076,695228.494,-22.020713811537192
030353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.),",2022,842,États-Unis,455948.318,313756.0,313756.0,1.453193940514285,542134.217,-15.897520631869641
